"gene_id","gene_label","gene_group","stimulus","time","comparison","baseMean","log2FC","fold_change","lfcSE","stat","pvalue","padj","ci95_low_log2FC","ci95_high_log2FC","significant_FDR05"
"AT2G14610","PR1","Pathogenesis-related protein 1","3.OH10",5,"3.OH10_5_vs_mock_5",23.9548786092005,3.57447732844699,11.9131029451005,1.07469629239689,3.32603485629865,0.000880909118682334,1,1.46807259534908,5.6808820615449,FALSE
"AT1G17330","PDE1","cGMP-stimulated phosphodiesterase","flg22",90,"flg22_90_vs_mock_90",253.315897605561,2.98664002153985,7.92625851474483,0.160284663723563,18.6333486445764,1.72393129410715e-77,1.71013984375429e-75,2.67248208064166,3.30079796243803,TRUE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","flg22",180,"flg22_180_vs_mock_180",2353.56470184709,1.43882078690002,2.71099187041249,0.196127002637201,7.33616874552238,2.19794871099824e-13,1.4864201868636e-12,1.05441186173111,1.82322971206893,TRUE
"AT1G14520","AT1G14520","Myo-inositol oxygenase 1 (MIOX1)","OGs",30,"OGs_30_vs_mock_30",84.1159345815553,0.718331870982875,1.64527856626972,0.256499644619906,2.80051799700283,0.00510206624482307,0.0284569177969682,0.21559256752786,1.22107117443789,TRUE
"AT5G40290","AT5G40290","HD-domain-containing metal-dependent phosphohydrolase","chitooct",30,"chitooct_30_vs_mock_30",2.21367406269467,0.706903357895584,1.63229674564728,0.805712893622245,0.877363839515533,0.380289047423613,0.796219943278495,-0.872293913604017,2.28610062939518,FALSE
"AT4G02260","AT4G02260","RelA/SpoT homolog 1 (RSH1)","OGs",10,"OGs_10_vs_mock_10",1064.56346828728,0.254034327138391,1.19253724693714,0.119552819872753,2.12487106041309,0.0335973733441724,0.4714918339857,0.019710800187796,0.488357854088986,FALSE
"AT5G40270","AT5G40270","HD-domain-containing metal-dependent phosphohydrolase","elf18",30,"elf18_30_vs_mock_30",73.7154584519454,0.237187138432623,1.17869229134992,0.166348505376423,1.42584472217471,0.15391316845843,0.398421265020983,-0.0888559321051656,0.563230208970411,FALSE
"AT1G26160","AT1G26160","Metal-dependent phosphohydrolase","Pep1",180,"Pep1_180_vs_mock_180",240.615998271296,0.233643306786696,1.17580050838062,0.119967748212239,1.94755098989896,0.0514687129205608,0.108067897298518,-0.00149347970929373,0.468780093282685,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","chitooct",90,"chitooct_90_vs_mock_90",298.670853350766,0.0573124355590604,1.04052558232554,0.156290129322416,0.366705407485003,0.713838772564377,0.895690294824845,-0.249016217912875,0.363641089030996,FALSE
