"gene_id","gene_label","gene_group","stimulus","time","comparison","baseMean","log2FC","fold_change","lfcSE","stat","pvalue","padj","ci95_low_log2FC","ci95_high_log2FC","significant_FDR05"
"AT1G17330","PDE1","cGMP-stimulated phosphodiesterase","flg22",0,"flg22_0_vs_mock_0",253.315897605561,-0.312131164582645,0.805451059040837,0.184041001068048,-1.69598710489103,0.0898883221659705,1,-0.672851526676019,0.0485891975107286,FALSE
"AT1G17330","PDE1","cGMP-stimulated phosphodiesterase","flg22",5,"flg22_5_vs_mock_5",253.315897605561,-0.0633317944723095,0.957051327919027,0.168131986722072,-0.376679034769268,0.706412145014343,0.977198218828125,-0.392870488447571,0.266206899502952,FALSE
"AT1G17330","PDE1","cGMP-stimulated phosphodiesterase","flg22",10,"flg22_10_vs_mock_10",253.315897605561,-0.200016539547725,0.870540583064928,0.179164936361326,-1.11638216500324,0.264258584428056,1,-0.551179814815925,0.151146735720475,FALSE
"AT1G17330","PDE1","cGMP-stimulated phosphodiesterase","flg22",30,"flg22_30_vs_mock_30",253.315897605561,1.01721311822291,2.02400537069028,0.163422318861094,6.22444428222517,4.83265846158162e-10,7.70120031146822e-09,0.696905373255169,1.33752086319066,TRUE
"AT1G17330","PDE1","cGMP-stimulated phosphodiesterase","flg22",90,"flg22_90_vs_mock_90",253.315897605561,2.98664002153985,7.92625851474483,0.160284663723563,18.6333486445764,1.72393129410715e-77,1.71013984375429e-75,2.67248208064166,3.30079796243803,TRUE
"AT1G17330","PDE1","cGMP-stimulated phosphodiesterase","flg22",180,"flg22_180_vs_mock_180",253.315897605561,2.24729332681957,4.74791243168081,0.161051127767199,13.9539123877981,2.97810108940203e-44,1.22908603898542e-42,1.93163311639586,2.56295353724328,TRUE
"AT1G17330","PDE1","cGMP-stimulated phosphodiesterase","elf18",0,"elf18_0_vs_mock_0",253.315897605561,-0.0987974372733967,0.933811048182506,0.168638454519882,-0.585853550156608,0.557973934106424,1,-0.429328808132366,0.231733933585573,FALSE
"AT1G17330","PDE1","cGMP-stimulated phosphodiesterase","elf18",5,"elf18_5_vs_mock_5",253.315897605561,-0.121145736749439,0.919457160640622,0.168373851094709,-0.719504459640205,0.471830155430382,1,-0.451158484895068,0.20886701139619,FALSE
"AT1G17330","PDE1","cGMP-stimulated phosphodiesterase","elf18",10,"elf18_10_vs_mock_10",253.315897605561,-0.172529671123976,0.887285519416169,0.166552662976915,-1.03588659610858,0.300255051603267,0.947581232548069,-0.49897289055873,0.153913548310778,FALSE
"AT1G17330","PDE1","cGMP-stimulated phosphodiesterase","elf18",30,"elf18_30_vs_mock_30",253.315897605561,1.09108956750909,2.13034866211093,0.163029203921674,6.69260194654014,2.19236909040395e-11,3.71547153643217e-10,0.771552327822605,1.41062680719557,TRUE
