Section,Gene,Context,N cells,Positive cells,% detected,Statistical / descriptive result
Major cluster,PR1,Cluster 20 | Mesophyll,,,1.71,Fisher FDR =  1.1e-08
Major cluster,PR1,Cluster 21 | Epidermis,,,2.93,Fisher FDR =  2.8e-04
Major cluster,PR1,Cluster 23 | Mesophyll,,,23.21,Fisher FDR =  3.6e-48
Major cluster,PR1,Cluster 24 | Mesophyll,,,19.97,Fisher FDR =  3.6e-30
Major cluster,PR1,Cluster 25 | Mesophyll,,,0.19,Fisher FDR =  2.2e-12
Major cluster,PR1,Cluster 27 | Mesophyll,,,1.44,Fisher FDR = 0.011
Major cluster,PR1,Cluster 28 | Mesophyll,,,0.00,Fisher FDR =  1.9e-04
Major cluster,PR1,Cluster 29 | Epidermis,,,12.71,Fisher FDR = 0.032
Major cluster,PR1,Cluster 3 | Mesophyll,,,10.43,Fisher FDR =  4.1e-33
Major cluster,PR1,Cluster 4 | Mesophyll,,,7.85,Fisher FDR =  1.2e-05
Major cluster,PR1,Cluster 5 | Mesophyll,,,7.55,Fisher FDR =  7.2e-04
Major cluster,PR1,Cluster 7 | Mesophyll,,,16.91,Fisher FDR = 1.2e-104
Major cluster,PR1,Cluster 9 | Vasculature,,,4.63,Fisher FDR = 0.004
